THOOMPUMKAL TRADERS
PUTHENCAVU P O             CHENGANNUR 689123 ALAPPUZHA DIST.
Stock Ledger - Item
Date:,31/12/2024
Show:,All Items
Stock Valuation:,PTS
Item Code:,All Item Code
Item Code,Item Name,Total On Hand Qty,Total SIT Qty,Conversion Unit,Reporting UOM,UOM Description,Total On Hand Value,Total SIT Value,Saleable Stock,Saleable SIT Qty,Saleable Value,Saleable SIT Value,Free OnHand Qty,Free SIT Qty,Damages Qty,Damages Value,Total On Hand Qty_UOM1,Total On Hand Qty_UOM2,Total SIT Qty_UOM1,Total SIT Qty_UOM2,Saleable SIT Qty_UOM1,Saleable SIT Qty_UOM2,Free SIT Qty_UOM1,Free SIT Qty_UOM2
FXC110010,BINGO STARTERS RS10 CHATPATA CHIPS_FXC110010,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC100010,BINGO STARTERS RS10 MINTY CHIPS_FXC100010,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC80010,BINGO STARTERS RS10 MASALA CHIPS_FXC80010,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC90010,BINGO STARTERS RS10 PEPPERY CHIPS_FXC90010,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC110020,BINGO STARTERS RS20 CHATPATA CHIPS_FXC110020,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC100020,BINGO STARTERS RS20 MINTY CHIPS_FXC100020,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC80020,BINGO STARTERS RS20 MASALA CHIPS_FXC80020,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC90020,BINGO STARTERS RS20 PEPPERY CHIPS_FXC90020,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FB9631,TM Galata Southern Twist 23G_FB9631,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FB9632,TM Galata Southern Twist 56G LD_FB9632,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FB9625F,TEDHE MEDHE RS.20 MASALA+05PPERIFR_FB9625F,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXT50020D,TEDHE MEDHE RS.20 MASALA_FXT50020D,8.960000 KG,15.360000 KG,8.960000 1,8.96,KG,0.00,2684.15,8.96,15.36,1565.75,2684.15,0.00,0.00,0.00,0.00,2.333333 CFC,112.000000 PAC,4.000000 CFC,192.000000 PAC,4.00,192.00,0.00,0.00
FA9681A,TEDHE MEDHE RS.5 TOMATO_FA9681A,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FA9681B,TEDHE MEDHE RS.5 TOMATO_FA9681B,0.000005 KG,0.000000 KG,0.000005 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000001 CFC,0.000233 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FA9682A,TEDHE MEDHE RS.10 TOMATO_FA9682A,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FA9682AN,TEDHE MEDHE RS.10 TOMATO_FA9682AN,0.360000 KG,0.000000 KG,0.360000 1,0.36,KG,0.00,0.00,0.36,0.00,61.27,0.00,0.00,0.00,0.00,0.00,0.083333 CFC,8.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXT11005C,TEDHEMEDHERS.05CHATPATATWIST50%EXT_FXT11005C,39.762000 KG,82.080000 KG,39.762000 1,39.76,KG,0.00,16875.15,39.76,82.08,8174.83,16875.15,0.00,0.00,0.00,0.00,9.204167 CFC,2209.000000 PAC,19.000000 CFC,4560.000000 PAC,19.00,4560.00,0.00,0.00
FXT11010A,TEDHEMEDHERS.10CHATPATATWIST50%EXT_FXT11010A,3.320000 KG,81.600000 KG,3.320000 1,3.32,KG,0.00,14511.70,3.32,81.60,590.43,14511.70,0.00,0.00,0.00,0.00,0.691667 CFC,83.000000 PAC,17.000000 CFC,2040.000000 PAC,17.00,2040.00,0.00,0.00
FXT50005DA,TEDHE MEDHE RS.5 MASALA 50% EXT_FXT50005DA,31.060000 KG,0.000000 KG,31.060000 1,31.06,KG,0.00,0.00,31.06,0.00,5747.05,0.00,0.00,0.00,0.00,0.00,6.470833 CFC,1553.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXT50005H,TEDHE MEDHE RS.5 MASALA_FXT50005H,0.003070 KG,0.000000 KG,0.003070 1,0.00,KG,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.000635 CFC,0.142791 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXT50005R,TEDHE MEDHE RS.5 MASALA_FXT50005R,4.320000 KG,4.320000 KG,4.320000 1,4.32,KG,0.00,932.95,4.32,4.32,932.95,932.95,0.00,0.00,0.00,0.00,1.000000 CFC,240.000000 PAC,1.000000 CFC,240.000000 PAC,1.00,240.00,0.00,0.00
FA9621N,TedheMedheMasalaTadka20+5gPr_FA9621N,0.000000 KG,0.000000 KG,0.000000 1,0.00,PAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FB9621D,TM Masala Tadka Namkeen18g+4.5Rs.5_FB9621D,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FB9621J,TM MASALA TADKA NAMKEEN 22.5G RS5_FB9621J,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FB9621O,TM Masala Tadka Namkeen18g+9 Rs.5_FB9621O,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FB9621QN,TEDHE MEDHE RS.5 MASALA_FB9621QN,0.021750 KG,0.000000 KG,0.021750 1,0.02,KG,0.00,0.00,0.02,0.00,3.68,0.00,0.00,0.00,0.00,0.00,0.004297 CFC,0.966667 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FB9621R,TM Masala Tadka Namkeen 20+10gRs.5_FB9621R,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FB9621Z,TEDHE MEDHE RS.5 MASALA_FB9621Z,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FB9622BN,TEDHE MEDHE RS.10 MASALA SOUTH_FB9622BN,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FB9622D,TM MasalaTadkaNamkeen 45+11.25gLad_FB9622D,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FB9622J,TEDHE MEDHE RS.10 MASALA_FB9622J,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FB9622R,TM MasalTadkaNamken45+22.5gRs10Lad_FB9622R,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FA9622D,TedheMedheMasalaTadka45+11.25gPrL_FA9622D,0.000000 KG,0.000000 KG,0.000000 1,0.00,PAC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXT50010BP,TEDHE MEDHE RS.10 MASALA 50% EXTSP_FXT50010B,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXT50010DP,TEDHE MEDHE RS.10 MASALA 50% AZSP_FXT50010DP,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXT50010E,TEDHE MEDHE RS.10 MASALA 50% EXT_FXT50010E,2.160000 KG,43.200000 KG,2.160000 1,2.16,KG,0.00,7682.66,2.16,43.20,384.13,7682.66,0.00,0.00,0.00,0.00,0.450000 CFC,54.000000 PAC,9.000000 CFC,1080.000000 PAC,9.00,1080.00,0.00,0.00
FXT50010FP,TEDHE MEDHE RS.10 MASALA 50% EXTSP_FXT50010F,0.000000 KG,14.400000 KG,0.000000 1,0.00,KG,0.00,2664.44,0.00,14.40,0.00,2664.44,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,3.000000 CFC,360.000000 PAC,3.00,360.00,0.00,0.00
FXT50010PB,TEDHE MEDHE RS.10 MASALA 50% EXT_FXT50010PB,9.120000 KG,18.240000 KG,9.120000 1,9.12,KG,0.00,3414.53,9.12,18.24,1707.26,3414.53,0.00,0.00,0.00,0.00,2.000000 CFC,240.000000 PAC,4.000000 CFC,480.000000 PAC,4.00,480.00,0.00,0.00
FXC16010,BINGO! HASHTAG CHIPS RS.10 CRM&ON_FXC16010,7.560000 KG,504.900000 KG,7.560000 1,7.56,KG,0.00,159629.16,7.56,504.90,2390.17,159629.16,0.00,0.00,0.00,0.00,2.800000 CFC,336.000000 PAC,187.000000 CFC,22440.000000 PAC,187.00,22440.00,0.00,0.00
FXC16010PA,BINGO! HASHTAG CHIPS RS.10 CRM&ON_FXC16010PA,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC17010,BINGO! HASHTAGRS.10HNS KOREANSTYLE_FXC17010,9.980000 KG,249.600000 KG,9.980000 1,9.98,KG,0.00,88777.43,5.68,249.60,2020.26,88777.43,0.00,0.00,4.30,1529.42,4.158333 CFC,499.000000 PAC,104.000000 CFC,12480.000000 PAC,104.00,12480.00,0.00,0.00
FXC15010,BINGO! HASHTAG CHIPS RS.10 MASALA_FXC15010,2.160000 KG,550.800000 KG,2.160000 1,2.16,KG,0.00,174140.90,1.62,550.80,512.18,174140.90,0.00,0.00,0.54,170.73,0.800000 CFC,96.000000 PAC,204.000000 CFC,24480.000000 PAC,204.00,24480.00,0.00,0.00
FXC15010PA,BINGO! HASHTAG CHIPS RS.10 MASALA_FXC15010PA,0.000000 KG,4.920000 KG,0.000000 1,0.00,KG,0.00,1707.26,0.00,4.92,0.00,1707.26,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,2.000000 CFC,240.000000 PAC,2.00,240.00,0.00,0.00
FXC16030,BINGO! HASHTAG CHIPS RS.30 CRM&ON_FXC16030,0.000000 KG,116.000000 KG,0.000000 1,0.00,KG,0.00,45086.07,0.00,116.00,0.00,45086.07,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,40.000000 CFC,2000.000000 PAC,40.00,2000.00,0.00,0.00
FXC16030A,BINGO! HASHTAG CHIPS RS.30 CRM&ON_FXC16030A,0.986000 KG,60.900000 KG,0.986000 1,0.99,KG,0.00,22750.23,0.99,60.90,368.34,22750.23,0.00,0.00,0.00,0.00,0.404762 CFC,17.000000 PAC,25.000000 CFC,1050.000000 PAC,25.00,1050.00,0.00,0.00
FXC16030PA,BINGO! HASHTAG CHIPS RS.30 CRM&ON_FXC16030PA,4.452000 KG,4.452000 KG,4.452000 1,4.45,KG,0.00,1819.99,4.45,4.45,1819.99,1819.99,0.00,0.00,0.00,0.00,2.000000 CFC,84.000000 PAC,2.000000 CFC,84.000000 PAC,2.00,84.00,0.00,0.00
FXC17030,BINGO! HASHTAGRS.30HNS KOREANSTYLE_FXC17030,10.918000 KG,91.266000 KG,10.918000 1,10.92,KG,0.00,38818.58,4.19,91.27,1780.88,38818.58,0.00,0.00,6.73,2862.93,4.904762 CFC,206.000000 PAC,41.000000 CFC,1722.000000 PAC,41.00,1722.00,0.00,0.00
FXC15030,BINGO! HASHTAG CHIPS RS.30 MASALA_FXC15030,0.000000 KG,78.300000 KG,0.000000 1,0.00,KG,0.00,30433.10,0.00,78.30,0.00,30433.10,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,27.000000 CFC,1350.000000 PAC,27.00,1350.00,0.00,0.00
FXC15030A,BINGO! HASHTAG CHIPS RS.30 MASALA_FXC15030A,3.074000 KG,53.592000 KG,3.074000 1,3.07,KG,0.00,20020.21,2.09,53.59,780.01,20020.21,0.00,0.00,0.99,368.34,1.261905 CFC,53.000000 PAC,22.000000 CFC,924.000000 PAC,22.00,924.00,0.00,0.00
FXC15030PA,BINGO! HASHTAG CHIPS RS.30 MASALA_FXC15030PA,4.452000 KG,4.452000 KG,4.452000 1,4.45,KG,0.00,1893.59,4.45,4.45,1893.59,1893.59,0.00,0.00,0.00,0.00,2.000000 CFC,84.000000 PAC,2.000000 CFC,84.000000 PAC,2.00,84.00,0.00,0.00
FXC20050C,BINGO! CHIPS RS.50 CRM&ON_FXC20050C,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC170050,BINGO! CHIPS RS.50 HNS KOREANSTYLE_FXC170050,2.430000 KG,30.240000 KG,2.430000 1,2.43,KG,0.00,12133.40,2.43,30.24,975.01,12133.40,0.00,0.00,0.00,0.00,0.642857 CFC,27.000000 PAC,8.000000 CFC,336.000000 PAC,8.00,336.00,0.00,0.00
FXC20010,YUMITOS Rs.10 Cream & Onion 25g_FXC20010,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC20011,BINGO! CHIPS RS.10 CRM&ON_FXC20011,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC20011A,BINGO! CHIPS RS.10 CRM&ON_FXC20011A,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC20011B,BINGO! CHIPS RS.10 CRM&ON_FXC20011B,0.288000 KG,172.800000 KG,0.288000 1,0.29,KG,0.00,53289.94,0.00,172.80,0.00,53289.94,0.00,0.00,0.29,88.82,0.100000 CFC,12.000000 PAC,60.000000 CFC,7200.000000 PAC,60.00,7200.00,0.00,0.00
FXC20011BP,BINGO! CHIPS RS.10 CRM&ON CHILL PR_FXC20011B,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC20011CP,BINGO! CHIPS RS.10 CRM&ON CHILL PR_FXC20011C,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC20011F,BINGO! CHIPS RS.10 CRM&ON NP_FXC20011F,2.208000 KG,889.920000 KG,2.208000 1,2.21,KG,0.00,288280.68,0.00,889.92,0.00,288280.68,0.00,0.00,2.21,715.26,0.766667 CFC,92.000000 PAC,309.000000 CFC,37080.000000 PAC,309.00,37080.00,0.00,0.00
FXC20011G,BINGO! CHIPS RS.10 CRM&ON NP CP PR_FXC20011G,0.000000 KG,195.840000 KG,0.000000 1,0.00,KG,0.00,63440.41,0.00,195.84,0.00,63440.41,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,68.000000 CFC,8160.000000 PAC,68.00,8160.00,0.00,0.00
FXC20011I,BINGO! CHIPS RS.10 CRM&ON AFA PR_FXC20011I,20.064000 KG,79.200000 KG,20.064000 1,20.06,KG,0.00,25609.47,20.06,79.20,6487.73,25609.47,0.00,0.00,0.00,0.00,7.600000 CFC,912.000000 PAC,30.000000 CFC,3600.000000 PAC,30.00,3600.00,0.00,0.00
FXC20011KP,BINGO! CHIPS RS.10 CRM&ON CK PR_FXC20011KP,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC20011PA,BINGO! CHIPS RS.10 CRM&ON_FXC20011PA,8.976000 KG,13.200000 KG,8.976000 1,8.98,KG,0.00,4440.84,6.34,13.20,2131.60,4440.84,0.00,0.00,2.64,888.17,3.400000 CFC,408.000000 PAC,5.000000 CFC,600.000000 PAC,5.00,600.00,0.00,0.00
FXC20011ZP,BINGO! CHIPS RS.10 CRM&ON AZ PR_FXC20011ZP,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC20012ZP,BINGO! CHIPS RS.10 CRM&ON AZ PR_FXC20012ZP,0.000000 KG,5.760000 KG,0.000000 1,0.00,KG,0.00,1776.33,0.00,5.76,0.00,1776.33,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,2.000000 CFC,240.000000 PAC,2.00,240.00,0.00,0.00
FXC170010,BINGO! CHIPS RS.10 HNS KOREANSTYLE_FXC170010,0.456000 KG,403.200000 KG,0.456000 1,0.46,KG,0.00,130612.61,0.00,403.20,0.00,130612.61,0.00,0.00,0.46,147.72,0.158333 CFC,19.000000 PAC,140.000000 CFC,16800.000000 PAC,140.00,16800.00,0.00,0.00
FXC170010PA,BINGO! CHIPS RS.10 HNS KOREANSTYLE_C170010PA,12.144000 KG,39.600000 KG,12.144000 1,12.14,KG,0.00,13322.52,6.86,39.60,2309.24,13322.52,0.00,0.00,5.28,1776.34,4.600000 CFC,552.000000 PAC,15.000000 CFC,1800.000000 PAC,15.00,1800.00,0.00,0.00
FXC40010,YUMITOS Rs.10 Masala 25g_FXC40010,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC40011,BINGO! CHIPS RS.10 MASALA_FXC40011,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC40011A,BINGO! CHIPS RS.10 MASALA_FXC40011A,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC40011B,BINGO! CHIPS RS.10 MASALA_FXC40011B,0.000000 KG,132.480000 KG,0.000000 1,0.00,KG,0.00,40855.62,0.00,132.48,0.00,40855.62,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,46.000000 CFC,5520.000000 PAC,46.00,5520.00,0.00,0.00
FXC40011BP,BINGO! CHIPS RS.10 MASALA CHILL PR_FXC40011B,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC40011C,BINGO! CHIPS RS.10 MASALA NP_FXC40011C,0.000000 KG,377.280000 KG,0.000000 1,0.00,KG,0.00,122216.08,0.00,377.28,0.00,122216.08,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,131.000000 CFC,15720.000000 PAC,131.00,15720.00,0.00,0.00
FXC40011E,BINGO! CHIPS RS.10 MASALA NP CP PR_FXC40011E,0.000000 KG,48.960000 KG,0.000000 1,0.00,KG,0.00,15098.82,0.00,48.96,0.00,15098.82,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,17.000000 CFC,2040.000000 PAC,17.00,2040.00,0.00,0.00
FXC40011I,BINGO! CHIPS RS.10 MASALA AFA PR_FXC40011I,6.336000 KG,34.320000 KG,6.336000 1,6.34,KG,0.00,12128.34,6.34,34.32,2239.08,12128.34,0.00,0.00,0.00,0.00,2.400000 CFC,288.000000 PAC,13.000000 CFC,1560.000000 PAC,13.00,1560.00,0.00,0.00
FXC40011KP,BINGO! CHIPS RS.10 MASALA CK PR_FXC40011KP,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC40011PA,BINGO! CHIPS RS.10 MASALA NP_FXC40011PA,5.280000 KG,5.280000 KG,5.280000 1,5.28,KG,0.00,1776.34,5.28,5.28,1776.34,1776.34,0.00,0.00,0.00,0.00,2.000000 CFC,240.000000 PAC,2.000000 CFC,240.000000 PAC,2.00,240.00,0.00,0.00
FXC40012ZP,BINGO! CHIPS RS.10 MASALA AZ PR_FXC40012ZP,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC10011,BINGO! CHIPS RS.10 SALTED_FXC10011,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC10011A,BINGO! CHIPS RS.10 SALTED_FXC10011A,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC30010,YUMITOS Rs.10 Tomato 25g_FXC30010,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC30011,BINGO! CHIPS RS.10 TOMATO_FXC30011,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC30011A,BINGO! CHIPS RS.10 TOMATO_FXC30011A,0.000000 KG,0.000000 KG,0.000000 1,0.00,KG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
FXC30011B,BINGO! CHIPS RS.10 TOMATO_FXC30011B,0.000000 KG,103.680000 KG,0.000000 1,0.00,KG,0.00,31973.97,0.00,103.68,0.00,31973.97,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,36.000000 CFC,4320.000000 PAC,36.00,4320.00,0.00,0.00
