THOOMPUMKAL TRADERS
PUTHENCAVU P O             CHENGANNUR 689123 ALAPPUZHA DIST.
Stock Ledger - Item
Date:,31/12/2024
Show:,All Items
Stock Valuation:,PTS
Item Code:,All Item Code
Item Code,Item Name,Total On Hand Qty,Total SIT Qty,Conversion Unit,Reporting UOM,UOM Description,Total On Hand Value,Total SIT Value,Saleable Stock,Saleable SIT Qty,Saleable Value,Saleable SIT Value,Free OnHand Qty,Free SIT Qty,Damages Qty,Damages Value,Total On Hand Qty_UOM1,Total On Hand Qty_UOM2,Total SIT Qty_UOM1,Total SIT Qty_UOM2,Saleable SIT Qty_UOM1,Saleable SIT Qty_UOM2,Free SIT Qty_UOM1,Free SIT Qty_UOM2
21072,AIM SPECIAL WM 28s_21072,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
21096,AIM SPECIAL 25s_21096,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
21097,AIM SPECIAL WM 25s_21097,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
21127,AIM SPECIAL 25s_21127,0.000000 M_S,201.000000 M_S,0.000000 1,0.00,M_S,0.00,139192.50,0.00,201.00,0.00,139192.50,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,335.000000 CFC,20100.000000 PAC,335.00,20100.00,0.00,0.00
21128,AIM SPECIAL WM 25s_21128,40.500000 M_S,1140.000000 M_S,207.886500 1,40.50,M_S,0.00,789450.00,40.50,1140.00,28046.25,789450.00,0.00,0.00,0.00,0.00,67.500000 CFC,4050.000000 PAC,1900.000000 CFC,114000.000000 PAC,1900.00,114000.00,0.00,0.00
9724,AIM SPECIAL 35s_9724,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
9725,AIM SPL VLK_9725,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
9706,AIM WAX_9706,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
21140,AIM WAX 28s_21140,0.000000 M_S,0.000000 M_S,0.000000 1,0.00,M_S,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000 CFC,0.000000 PAC,0.000000 CFC,0.000000 PAC,0.00,0.00,0.00,0.00
21163,AIM Wax 25s_21163,0.420000 M_S,1.800000 M_S,3.234000 1,0.42,M_S,0.00,1202.60,0.42,1.80,280.61,1202.60,0.00,0.00,0.00,0.00,0.700000 CFC,42.000000 PAC,3.000000 CFC,180.000000 PAC,3.00,180.00,0.00,0.00
